Year,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population
1999,Alabama,Melanomas of the Skin,13.5,605,4430141
1999,Alaska,Melanomas of the Skin,11.2,51,624779
1999,Arizona,Melanomas of the Skin,18.6,918,5023823
1999,Arkansas,Melanomas of the Skin,11.2,311,2651860
1999,California,Melanomas of the Skin,18.4,5567,33499204
1999,Colorado,Melanomas of the Skin,20.7,800,4226018
1999,Connecticut,Melanomas of the Skin,21.4,761,3386401
1999,Delaware,Melanomas of the Skin,13.3,104,774990
1999,District of Columbia,Melanomas of the Skin,8.1,48,570213
1999,Florida,Melanomas of the Skin,17.5,3245,15759421
1999,Georgia,Melanomas of the Skin,13.7,994,8045965
1999,Hawaii,Melanomas of the Skin,14.7,180,1210300
1999,Idaho,Melanomas of the Skin,19.9,236,1275674
1999,Illinois,Melanomas of the Skin,11.8,1415,12359020
1999,Indiana,Melanomas of the Skin,13.2,786,6044969
1999,Iowa,Melanomas of the Skin,17.2,532,2917634
1999,Kansas,Melanomas of the Skin,17.1,457,2678338
1999,Kentucky,Melanomas of the Skin,19.9,804,4018053
1999,Louisiana,Melanomas of the Skin,9.9,412,4460811
1999,Maine,Melanomas of the Skin,18.6,257,1266808
1999,Maryland,Melanomas of the Skin,17.8,910,5254509
1999,Massachusetts,Melanomas of the Skin,16.2,1055,6317345
1999,Michigan,Melanomas of the Skin,17.5,1705,9897116
1999,Minnesota,Melanomas of the Skin,17,813,4873481
1999,Mississippi,Melanomas of the Skin,Data not presented,Data not presented
1999,Missouri,Melanomas of the Skin,10.5,598,5561948
1999,Montana,Melanomas of the Skin,12.2,112,897507
1999,Nebraska,Melanomas of the Skin,14.8,252,1704764
1999,Nevada,Melanomas of the Skin,8.3,158,1934718
1999,New Hampshire,Melanomas of the Skin,21.1,261,1222014
1999,New Jersey,Melanomas of the Skin,15.3,1325,8359592
1999,New Mexico,Melanomas of the Skin,14.8,255,1808082
1999,New York,Melanomas of the Skin,10.2,1942,18882725
1999,North Carolina,Melanomas of the Skin,14.7,1164,7949361
1999,North Dakota,Melanomas of the Skin,9.6,64,644259
1999,Ohio,Melanomas of the Skin,13.6,1570,11335454
1999,Oklahoma,Melanomas of the Skin,10.3,359,3437147
1999,Oregon,Melanomas of the Skin,22,759,3393941
1999,Pennsylvania,Melanomas of the Skin,13.6,1834,12263805
1999,Puerto Rico,,Data not presented,Data not presented
1999,Rhode Island,Melanomas of the Skin,18.6,208,1040402
1999,South Carolina,Melanomas of the Skin,17.4,684,3974682
1999,South Dakota,Melanomas of the Skin,Data not presented,Data not presented
1999,Tennessee,Melanomas of the Skin,10.8,612,5638706
1999,Texas,Melanomas of the Skin,11.3,2023,20558220
1999,United States,Melanomas of the Skin,15.1,41009,275461348
1999,Utah,Melanomas of the Skin,22.1,381,2203482
1999,Vermont,Melanomas of the Skin,28.9,180,604683
1999,Virginia,Melanomas of the Skin,14.6,994,7000174
1999,Washington,Melanomas of the Skin,21.9,1243,5842564
1999,West Virginia,Melanomas of the Skin,15.2,305,1811799
1999,Wisconsin,Melanomas of the Skin,12.3,664,5332666
1999,Wyoming,Melanomas of the Skin,20,96,491780
2000,Alabama,Melanomas of the Skin,12.8,582,4452173
2000,Alaska,Melanomas of the Skin,11.1,57,627963
2000,Arizona,Melanomas of the Skin,17.6,899,5160586
2000,Arkansas,Melanomas of the Skin,11.8,332,2678588
2000,California,Melanomas of the Skin,18.1,5603,33987977
2000,Colorado,Melanomas of the Skin,21.4,856,4326921
2000,Connecticut,Melanomas of the Skin,23.5,850,3411777
2000,Delaware,Melanomas of the Skin,16,128,786373
2000,District of Columbia,Melanomas of the Skin,5.4,31,572046
2000,Florida,Melanomas of the Skin,20.1,3831,16047515
2000,Georgia,Melanomas of the Skin,17.1,1266,8227303
2000,Hawaii,Melanomas of the Skin,17,213,1213519
2000,Idaho,Melanomas of the Skin,20.1,244,1299430
2000,Illinois,Melanomas of the Skin,12.6,1521,12434161
2000,Indiana,Melanomas of the Skin,15.1,908,6091866
2000,Iowa,Melanomas of the Skin,17.7,542,2929067
2000,Kansas,Melanomas of the Skin,16.4,440,2693681
2000,Kentucky,Melanomas of the Skin,20.1,826,4049021
2000,Louisiana,Melanomas of the Skin,10.3,438,4471885
2000,Maine,Melanomas of the Skin,17.4,244,1277072
2000,Maryland,Melanomas of the Skin,17.4,911,5311034
2000,Massachusetts,Melanomas of the Skin,16.6,1099,6361104
2000,Michigan,Melanomas of the Skin,17.9,1772,9952450
2000,Minnesota,Melanomas of the Skin,18.1,878,4933692
2000,Mississippi,Melanomas of the Skin,Data not presented,Data not presented
2000,Missouri,Melanomas of the Skin,11.5,664,5607285
2000,Montana,Melanomas of the Skin,20,188,903773
2000,Nebraska,Melanomas of the Skin,14.2,246,1713820
2000,Nevada,Melanomas of the Skin,17.1,333,2018741
2000,New Hampshire,Melanomas of the Skin,23,288,1239882
2000,New Jersey,Melanomas of the Skin,15.9,1388,8430621
2000,New Mexico,Melanomas of the Skin,18.4,322,1821204
2000,New York,Melanomas of the Skin,11.4,2211,19001780
2000,North Carolina,Melanomas of the Skin,16,1290,8081614
2000,North Dakota,Melanomas of the Skin,6.9,48,642023
2000,Ohio,Melanomas of the Skin,13.8,1604,11363543
2000,Oklahoma,Melanomas of the Skin,11.9,417,3454365
2000,Oregon,Melanomas of the Skin,23.6,827,3429708
