Year,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population
1999,Alabama,All Types of Cancer,425.1,19289,4430141
1999,Alaska,All Types of Cancer,506.3,1968,624779
1999,Arizona,All Types of Cancer,426.2,21430,5023823
1999,Arkansas,All Types of Cancer,442.8,12555,2651860
1999,California,All Types of Cancer,466.5,136403,33499204
1999,Colorado,All Types of Cancer,449.9,16146,4226018
1999,Connecticut,All Types of Cancer,516.7,18710,3386401
1999,Delaware,All Types of Cancer,504.1,3979,774990
1999,District of Columbia,All Types of Cancer,522.3,2912,570213
1999,Florida,All Types of Cancer,512.1,100207,15759421
1999,Georgia,All Types of Cancer,447,30417,8045965
1999,Hawaii,All Types of Cancer,436.8,5377,1210300
1999,Idaho,All Types of Cancer,445.6,5210,1275674
1999,Illinois,All Types of Cancer,494.8,58861,12359020
1999,Indiana,All Types of Cancer,466.9,27790,6044969
1999,Iowa,All Types of Cancer,489.2,15813,2917634
1999,Kansas,All Types of Cancer,470.2,12726,2678338
1999,Kentucky,All Types of Cancer,519.6,20889,4018053
1999,Louisiana,All Types of Cancer,493.4,20450,4460811
1999,Maine,All Types of Cancer,512.2,7186,1266808
1999,Maryland,All Types of Cancer,499,24819,5254509
1999,Massachusetts,All Types of Cancer,502.5,33065,6317345
1999,Michigan,All Types of Cancer,521.3,50498,9897116
1999,Minnesota,All Types of Cancer,466.3,21869,4873481
1999,Mississippi,All Types of Cancer,Data not presented,Data not presented
1999,Missouri,All Types of Cancer,478.2,27699,5561948
1999,Montana,All Types of Cancer,487.8,4600,897507
1999,Nebraska,All Types of Cancer,485.7,8543,1704764
1999,Nevada,All Types of Cancer,421.8,7621,1934718
1999,New Hampshire,All Types of Cancer,490.1,5873,1222014
1999,New Jersey,All Types of Cancer,523.5,45377,8359592
1999,New Mexico,All Types of Cancer,431.9,7308,1808082
1999,New York,All Types of Cancer,495,94563,18882725
1999,North Carolina,All Types of Cancer,443.8,34563,7949361
1999,North Dakota,All Types of Cancer,462.7,3196,644259
1999,Ohio,All Types of Cancer,488.3,57125,11335454
1999,Oklahoma,All Types of Cancer,457.5,16105,3437147
1999,Oregon,All Types of Cancer,509.5,17616,3393941
1999,Pennsylvania,All Types of Cancer,502.7,70907,12263805
1999,Puerto Rico,,Data not presented,Data not presented
1999,Rhode Island,All Types of Cancer,540.4,6125,1040402
1999,South Carolina,All Types of Cancer,483.5,18865,3974682
1999,South Dakota,All Types of Cancer,Data not presented,Data not presented
1999,Tennessee,All Types of Cancer,390.3,22108,5638706
1999,Texas,All Types of Cancer,469.1,80689,20558220
1999,United States,All Types of Cancer,480.9,1303868,275461348
1999,Utah,All Types of Cancer,417,6639,2203482
1999,Vermont,All Types of Cancer,515.9,3188,604683
1999,Virginia,All Types of Cancer,435.2,28796,7000174
1999,Washington,All Types of Cancer,517.7,28173,5842564
1999,West Virginia,All Types of Cancer,503.5,10565,1811799
1999,Wisconsin,All Types of Cancer,495.1,26849,5332666
1999,Wyoming,All Types of Cancer,472.1,2206,491780
2000,Alabama,All Types of Cancer,433,19858,4452173
2000,Alaska,All Types of Cancer,515.9,2059,627963
2000,Arizona,All Types of Cancer,429,22127,5160586
2000,Arkansas,All Types of Cancer,443.5,12736,2678588
2000,California,All Types of Cancer,460.4,137509,33987977
2000,Colorado,All Types of Cancer,454.3,16788,4326921
2000,Connecticut,All Types of Cancer,525.3,19214,3411777
2000,Delaware,All Types of Cancer,517.5,4161,786373
2000,District of Columbia,All Types of Cancer,525.1,2937,572046
2000,Florida,All Types of Cancer,522.5,103879,16047515
2000,Georgia,All Types of Cancer,473.8,33036,8227303
2000,Hawaii,All Types of Cancer,418.8,5263,1213519
2000,Idaho,All Types of Cancer,474.9,5672,1299430
2000,Illinois,All Types of Cancer,493.5,59192,12434161
2000,Indiana,All Types of Cancer,481.6,28967,6091866
2000,Iowa,All Types of Cancer,485.6,15762,2929067
2000,Kansas,All Types of Cancer,470.4,12812,2693681
2000,Kentucky,All Types of Cancer,523.3,21365,4049021
2000,Louisiana,All Types of Cancer,494.6,20768,4471885
2000,Maine,All Types of Cancer,532.1,7602,1277072
2000,Maryland,All Types of Cancer,495.2,25125,5311034
2000,Massachusetts,All Types of Cancer,505,33589,6361104
2000,Michigan,All Types of Cancer,523.3,51328,9952450
2000,Minnesota,All Types of Cancer,478.7,22788,4933692
2000,Mississippi,All Types of Cancer,Data not presented,Data not presented
2000,Missouri,All Types of Cancer,469.6,27495,5607285
2000,Montana,All Types of Cancer,500.4,4803,903773
2000,Nebraska,All Types of Cancer,486,8596,1713820
2000,Nevada,All Types of Cancer,514.3,9660,2018741
2000,New Hampshire,All Types of Cancer,508.1,6231,1239882
2000,New Jersey,All Types of Cancer,530.1,46472,8430621
2000,New Mexico,All Types of Cancer,420.8,7289,1821204
2000,New York,All Types of Cancer,502.6,97336,19001780
2000,North Carolina,All Types of Cancer,459.9,36505,8081614
2000,North Dakota,All Types of Cancer,459.9,3205,642023
