State,Average Elevation (feet),Average Elevation (meters)
Alabama,500,152
Alaska,1900,579
Arizona,4100,1250
Arkansas,650,198
California,2900,884
Colorado,6800,2073
Connecticut,500,152
Delaware,60,18
Florida,100,30
Georgia,600,183
Hawaii,3030,923
Idaho,5000,1524
Illinois,600,183
Indiana,700,213
Iowa,1100,335
Kansas,2000,610
Kentucky,750,229
Louisiana,100,30
Maine,600,183
Maryland,350,107
Massachusetts,500,152
Michigan,900,274
Minnesota,1200,366
Mississippi,300,91
Missouri,800,244
Montana,3400,1036
Nebraska,2600,792
Nevada,5500,1676
New Hampshire,1000,305
New Jersey,250,76
New Mexico,5700,1737
New York,1000,305
North Carolina,700,213
North Dakota,1900,579
Ohio,850,259
Oklahoma,1300,396
Oregon,3300,1006
Pennsylvania,1100,335
Rhode Island,200,61
South Carolina,350,107
South Dakota,2200,671
Tennessee,900,274
Texas,1700,518
Utah,6100,1860
Vermont,1000,305
Virginia,950,290
Washington,1700,518
West Virginia,1500,457
Wisconsin,1050,320
Wyoming,6700,2042
