"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2004","88","",
"01","Alabama","2005","146","",
"01","Alabama","2006","153","",
"01","Alabama","2007","152","",
"01","Alabama","2008","155","",
"01","Alabama","2009","150","",
"01","Alabama","2010","155","",
"01","Alabama","2011","175","",
"01","Alabama","2012","170","",
"01","Alabama","2013","168","",
"01","Alabama","2014","184","",
"01","Alabama","2015","181","",
"01","Alabama","2016","195","",
"01","Alabama","2017","194","",
"01","Alabama","2018","189","",
"01","Alabama","2019","199","",
"01","Alabama","2020","202","",
"02","Alaska","2004","36","",
"02","Alaska","2005","61","",
"02","Alaska","2006","56","",
"02","Alaska","2007","58","",
"02","Alaska","2008","57","",
"02","Alaska","2009","64","",
"02","Alaska","2010","58","",
"02","Alaska","2011","63","",
"02","Alaska","2012","61","",
"02","Alaska","2013","64","",
"02","Alaska","2014","67","",
"02","Alaska","2015","72","",
"02","Alaska","2016","77","",
"02","Alaska","2017","74","",
"02","Alaska","2018","77","",
"02","Alaska","2019","82","",
"02","Alaska","2020","81","",
"04","Arizona","2004","105","",
"04","Arizona","2005","176","",
"04","Arizona","2006","175","",
"04","Arizona","2007","175","",
"04","Arizona","2008","181","",
"04","Arizona","2009","180","",
"04","Arizona","2010","173","",
"04","Arizona","2011","197","",
"04","Arizona","2012","204","",
"04","Arizona","2013","202","",
"04","Arizona","2014","204","",
"04","Arizona","2015","206","",
"04","Arizona","2016","218","",
"04","Arizona","2017","220","",
"04","Arizona","2018","211","",
"04","Arizona","2019","220","",
"04","Arizona","2020","242","",
"05","Arkansas","2004","77","",
"05","Arkansas","2005","140","",
"05","Arkansas","2006","140","",
"05","Arkansas","2007","138","",
"05","Arkansas","2008","139","",
"05","Arkansas","2009","139","",
"05","Arkansas","2010","142","",
"05","Arkansas","2011","161","",
"05","Arkansas","2012","166","",
"05","Arkansas","2013","159","",
"05","Arkansas","2014","164","",
"05","Arkansas","2015","170","",
"05","Arkansas","2016","182","",
"05","Arkansas","2017","190","",
"05","Arkansas","2018","186","",
"05","Arkansas","2019","182","",
"05","Arkansas","2020","205","",
"06","California","2004","80","",
"06","California","2005","147","",
"06","California","2006","147","",
"06","California","2007","155","",
"06","California","2008","156","",
"06","California","2009","154","",
"06","California","2010","141","",
"06","California","2011","161","",
"06","California","2012","171","",
"06","California","2013","180","",
"06","California","2014","184","",
"06","California","2015","188","",
"06","California","2016","201","",
"06","California","2017","198","",
"06","California","2018","194","",
"06","California","2019","200","",
"06","California","2020","222","",
"08","Colorado","2004","92","",
"08","Colorado","2005","164","",
"08","Colorado","2006","165","",
"08","Colorado","2007","163","",
"08","Colorado","2008","165","",
"08","Colorado","2009","160","",
"08","Colorado","2010","154","",
"08","Colorado","2011","167","",
"08","Colorado","2012","174","",
"08","Colorado","2013","165","",
"08","Colorado","2014","173","",
"08","Colorado","2015","182","",
"08","Colorado","2016","204","",
"08","Colorado","2017","203","",
"08","Colorado","2018","202","",
"08","Colorado","2019","209","",
"08","Colorado","2020","216","",
"09","Connecticut","2004","60","",
"09","Connecticut","2005","100","",
"09","Connecticut","2006","97","",
"09","Connecticut","2007","106","",
"09","Connecticut","2008","104","",
"09","Connecticut","2009","101","",
"09","Connecticut","2010","103","",
"09","Connecticut","2011","113","",
"09","Connecticut","2012","113","",
"09","Connecticut","2013","118","",
"09","Connecticut","2014","121","",
"09","Connecticut","2015","127","",
"09","Connecticut","2016","151","",
"09","Connecticut","2017","129","",
"09","Connecticut","2018","134","",
"09","Connecticut","2019","142","",
"09","Connecticut","2020","149","",
"10","Delaware","2004","66","",
"10","Delaware","2005","111","",
"10","Delaware","2006","113","",
"10","Delaware","2007","117","",
"10","Delaware","2008","117","",
"10","Delaware","2009","112","",
"10","Delaware","2010","114","",
"10","Delaware","2011","126","",
"10","Delaware","2012","129","",
"10","Delaware","2013","122","",
"10","Delaware","2014","122","",
"10","Delaware","2015","141","",
"10","Delaware","2016","157","",
"10","Delaware","2017","195","",
"10","Delaware","2018","152","",
"10","Delaware","2019","159","",
"10","Delaware","2020","172","",
"11","District of Columbia","2004","68","",
"11","District of Columbia","2005","112","",
"11","District of Columbia","2006","112","",
"11","District of Columbia","2007","116","",
"11","District of Columbia","2008","117","",
"11","District of Columbia","2009","113","",
"11","District of Columbia","2010","113","",
"11","District of Columbia","2011","123","",
"11","District of Columbia","2012","137","",
"11","District of Columbia","2013","124","",
"11","District of Columbia","2014","136","",
"11","District of Columbia","2015","155","",
"11","District of Columbia","2016","172","",
"11","District of Columbia","2017","167","",
"11","District of Columbia","2018","157","",
"11","District of Columbia","2019","177","",
"11","District of Columbia","2020","177","",
"12","Florida","2004","117","",
"12","Florida","2005","170","",
"12","Florida","2006","179","",
"12","Florida","2007","174","",
"12","Florida","2008","178","",
"12","Florida","2009","181","",
"12","Florida","2010","181","",
"12","Florida","2011","197","",
"12","Florida","2012","194","",
"12","Florida","2013","200","",
"12","Florida","2014","202","",
"12","Florida","2015","204","",
"12","Florida","2016","213","",
"12","Florida","2017","217","",
"12","Florida","2018","211","",
"12","Florida","2019","225","",
"12","Florida","2020","230","",
"13","Georgia","2004","92","",
"13","Georgia","2005","147","",
"13","Georgia","2006","153","",
"13","Georgia","2007","153","",
"13","Georgia","2008","157","",
"13","Georgia","2009","154","",
"13","Georgia","2010","155","",
"13","Georgia","2011","175","",
"13","Georgia","2012","169","",
"13","Georgia","2013","170","",
"13","Georgia","2014","179","",
"13","Georgia","2015","180","",
"13","Georgia","2016","196","",
"13","Georgia","2017","199","",
"13","Georgia","2018","193","",
"13","Georgia","2019","204","",
"13","Georgia","2020","206","",
"15","Hawaii","2004","178","",
"15","Hawaii","2005","240","",
"15","Hawaii","2006","230","",
"15","Hawaii","2007","235","",
"15","Hawaii","2008","237","",
"15","Hawaii","2009","236","",
"15","Hawaii","2010","240","",
"15","Hawaii","2011","232","",
"15","Hawaii","2012","235","",
"15","Hawaii","2013","243","",
"15","Hawaii","2014","238","",
"15","Hawaii","2015","243","",
"15","Hawaii","2016","254","",
"15","Hawaii","2017","247","",
"15","Hawaii","2018","231","",
"15","Hawaii","2019","253","",
"15","Hawaii","2020","242","",
"16","Idaho","2004","69","",
"16","Idaho","2005","120","",
"16","Idaho","2006","123","",
"16","Idaho","2007","126","",
"16","Idaho","2008","121","",
"16","Idaho","2009","123","",
"16","Idaho","2010","113","",
"16","Idaho","2011","128","",
"16","Idaho","2012","141","",
"16","Idaho","2013","135","",
"16","Idaho","2014","144","",
"16","Idaho","2015","151","",
"16","Idaho","2016","158","",
"16","Idaho","2017","158","",
"16","Idaho","2018","154","",
"16","Idaho","2019","149","",
"16","Idaho","2020","169","",
"17","Illinois","2004","61","",
"17","Illinois","2005","116","",
"17","Illinois","2006","112","",
"17","Illinois","2007","118","",
"17","Illinois","2008","114","",
"17","Illinois","2009","114","",
"17","Illinois","2010","118","",
"17","Illinois","2011","128","",
"17","Illinois","2012","139","",
"17","Illinois","2013","124","",
"17","Illinois","2014","131","",
"17","Illinois","2015","144","",
"17","Illinois","2016","167","",
"17","Illinois","2017","166","",
"17","Illinois","2018","153","",
"17","Illinois","2019","168","",
"17","Illinois","2020","177","",
"18","Indiana","2004","62","",
"18","Indiana","2005","112","",
"18","Indiana","2006","109","",
"18","Indiana","2007","115","",
"18","Indiana","2008","112","",
"18","Indiana","2009","112","",
"18","Indiana","2010","116","",
"18","Indiana","2011","124","",
"18","Indiana","2012","134","",
"18","Indiana","2013","121","",
"18","Indiana","2014","132","",
"18","Indiana","2015","141","",
"18","Indiana","2016","167","",
"18","Indiana","2017","169","",
"18","Indiana","2018","162","",
"18","Indiana","2019","168","",
"18","Indiana","2020","170","",
"19","Iowa","2004","59","",
"19","Iowa","2005","112","",
"19","Iowa","2006","107","",
"19","Iowa","2007","111","",
"19","Iowa","2008","107","",
"19","Iowa","2009","110","",
"19","Iowa","2010","110","",
"19","Iowa","2011","120","",
"19","Iowa","2012","139","",
"19","Iowa","2013","121","",
"19","Iowa","2014","123","",
"19","Iowa","2015","139","",
"19","Iowa","2016","151","",
"19","Iowa","2017","151","",
"19","Iowa","2018","147","",
"19","Iowa","2019","142","",
"19","Iowa","2020","154","",
"20","Kansas","2004","71","",
"20","Kansas","2005","134","",
"20","Kansas","2006","135","",
"20","Kansas","2007","131","",
"20","Kansas","2008","132","",
"20","Kansas","2009","135","",
"20","Kansas","2010","133","",
"20","Kansas","2011","152","",
"20","Kansas","2012","163","",
"20","Kansas","2013","146","",
"20","Kansas","2014","155","",
